pair,metric,component,layer,head,value_mean
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,23,0.718021
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,24,0.660597
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,25,0.772857
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,26,0.699163
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,27,0.705028
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,28,0.627585
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,29,0.775467
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,30,0.570511
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,31,0.59836
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,32,0.707524
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,33,0.53664
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,34,0.592152
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,35,0.962527
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,36,0.906724
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,37,0.915676
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,38,0.907136
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,1,39,0.937447
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,0,0.718021
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,1,0.842755
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,2,0.869
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,3,0.710712
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,4,0.790605
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,5,0.641332
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,6,0.633859
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,7,0.5872
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,8,0.665283
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,9,0.725137
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,10,0.64921
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,11,0.564391
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,12,0.599685
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,13,0.566104
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,14,0.541418
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,15,0.585128
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,16,0.578965
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,17,0.519107
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,18,0.556624
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,19,0.539432
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,20,0.610287
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,21,0.584918
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,22,0.650333
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,23,0.660226
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,24,0.673229
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,25,0.655121
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,26,0.566883
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,27,0.612125
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,28,0.644393
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,29,0.554892
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,30,0.527379
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,31,0.594738
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,32,0.575335
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,33,0.528342
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,34,0.584928
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,35,0.605867
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,36,0.624166
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,37,0.669641
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,38,0.665577
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,2,39,0.689791
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,0,0.713225
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,1,0.693372
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,2,0.794781
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,3,0.731883
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,4,0.709109
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,5,0.607086
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,6,0.686496
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,7,0.566996
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,8,0.65436
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,9,0.575524
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,10,0.575484
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,11,0.565782
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,12,0.59438
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,13,0.581606
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,14,0.620661
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,15,0.669354
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,16,0.764939
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,17,0.683517
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,18,0.671797
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,19,0.667192
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,20,0.557885
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,21,0.549032
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,22,0.669189
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,23,0.604106
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,24,0.588353
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,25,0.719928
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,26,0.641343
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,27,0.649065
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,28,0.577274
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,29,0.559534
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,30,0.63102
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,31,0.497851
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,32,0.375143
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,33,0.458841
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,34,0.411263
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,35,0.63074
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,36,0.672986
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,37,0.745664
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,38,0.672006
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,3,39,0.696529
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,0,0.878337
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,1,0.736474
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,2,0.764822
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,3,0.731739
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,4,0.739885
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,5,0.606066
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,6,0.672104
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,7,0.645718
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,8,0.566344
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,9,0.618
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,10,0.795134
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,11,0.734658
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,12,0.760796
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,13,0.768978
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,14,0.856906
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,15,0.552632
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,16,0.569822
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,17,0.574381
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,18,0.573267
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,19,0.588246
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,20,0.54453
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,21,0.640084
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,22,0.741103
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,23,0.790589
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,24,0.574361
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,25,0.620697
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,26,0.690928
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,27,0.795886
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,28,0.748954
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,29,0.589254
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,30,0.684809
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,31,0.604582
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,32,0.536266
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,33,0.559688
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,34,0.6082
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,35,0.601885
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,36,0.480005
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,37,0.584147
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,38,0.558782
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,4,39,0.547314
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,0,0.914832
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,1,0.869269
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,2,0.947009
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,3,0.923758
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,4,0.865562
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,5,0.616761
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,6,0.697696
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,7,0.805079
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,8,0.588168
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,9,0.607331
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,10,0.622612
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,11,0.632494
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,12,0.583383
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,13,0.585598
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,14,0.551303
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,15,0.864504
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,16,0.980569
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,17,0.970731
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,18,0.915723
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,19,0.900327
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,20,0.737986
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,21,0.669616
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,22,0.712744
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,23,0.806296
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,24,0.726579
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,25,0.836408
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,26,0.598319
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,27,0.608121
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,28,0.784172
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,29,0.574273
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,30,0.87788
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,31,0.766174
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,32,0.831413
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,33,0.85626
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,34,0.830596
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,35,0.801133
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,36,0.728831
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,37,0.864845
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,38,0.69514
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,5,39,0.769022
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,0,0.703699
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,1,0.679431
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,2,0.622433
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,3,0.723717
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,4,0.795785
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,5,0.830457
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,6,0.801565
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,7,0.679873
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,8,0.876481
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,9,0.72826
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,10,0.672
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,11,0.65879
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,12,0.578536
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,13,0.761029
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,14,0.622745
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,15,0.490067
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,16,0.522439
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,17,0.542712
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,18,0.483131
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,19,0.518298
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,20,0.88544
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,21,0.711786
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,22,0.765352
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,23,0.59797
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,24,0.643172
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,25,0.754465
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,26,0.791802
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,27,0.773225
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,28,0.793676
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,29,0.723441
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,30,0.769165
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,31,0.682891
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,32,0.762719
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,33,0.738597
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,34,0.835314
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,35,0.655895
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,36,0.75644
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,37,0.757526
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,38,0.554205
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,6,39,0.643989
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,0,0.723421
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,1,0.768405
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,2,0.667494
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,3,0.901577
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,4,0.76014
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,5,0.726796
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,6,0.744443
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,7,0.702289
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,8,0.733168
gpqa_orgn_vs_gpqa_ver1,head_output_maxmatch_cosine,head_output,7,9,0.759343
