================================================================================
cosine_similarity by layer
================================================================================
layer	version	mean	std
22	version2	0.998900	0.000852
23	version2	0.999000	0.000725
24	version2	0.998400	0.001046
25	version2	0.999050	0.000759
26	version2	0.998450	0.001050
27	version2	0.998600	0.001095
28	version2	0.998850	0.000813
29	version2	0.998550	0.001050
30	version2	0.999400	0.000598
31	version2	0.998650	0.000875
32	version2	0.999100	0.000788
33	version2	0.998250	0.001333
34	version2	0.998900	0.000641
35	version2	0.999700	0.000571
0	version3	1.000000	0.000000
1	version3	0.999900	0.000308
2	version3	0.998800	0.000768
3	version3	0.998650	0.000875
4	version3	0.999700	0.000470
5	version3	0.999400	0.000681
6	version3	0.999250	0.000639
7	version3	0.997450	0.001504
8	version3	0.999300	0.000571
9	version3	0.995900	0.002150
10	version3	0.999500	0.000513
11	version3	0.998850	0.000489
12	version3	0.998150	0.000988
13	version3	0.996050	0.002064
14	version3	0.998800	0.000616
15	version3	0.997300	0.001559
16	version3	0.997200	0.001436
17	version3	0.997100	0.001774
18	version3	0.996950	0.002212
19	version3	0.997850	0.001531
20	version3	0.996100	0.002900
21	version3	0.997350	0.002110
22	version3	0.998000	0.001257
23	version3	0.998100	0.001373
24	version3	0.996750	0.002593
25	version3	0.998550	0.000686
26	version3	0.997050	0.001791
27	version3	0.997700	0.001342
28	version3	0.997800	0.001508
29	version3	0.997400	0.001789
30	version3	0.998650	0.000587
31	version3	0.997850	0.001424
32	version3	0.998450	0.000887
33	version3	0.997150	0.001843
34	version3	0.998450	0.000887
35	version3	0.999200	0.000616

================================================================================
js_divergence by layer
================================================================================
layer	version	mean	std
0	ver1to2	0.000000	0.000000
1	ver1to2	0.010300	0.015097
2	ver1to2	0.002550	0.002350
3	ver1to2	0.004400	0.002836
4	ver1to2	0.054400	0.048297
5	ver1to2	0.003850	0.008456
6	ver1to2	0.001600	0.001569
7	ver1to2	0.000000	0.000000
8	ver1to2	0.000600	0.001046
9	ver1to2	0.002400	0.001392
10	ver1to2	0.000000	0.000000
11	ver1to2	0.002850	0.003483
12	ver1to2	0.001400	0.001046
13	ver1to2	0.002800	0.001765
14	ver1to2	0.000650	0.001040
15	ver1to2	0.001100	0.001373
16	ver1to2	0.002350	0.003746
17	ver1to2	0.004000	0.002000
18	ver1to2	0.004500	0.003832
19	ver1to2	0.005050	0.003818
20	ver1to2	0.009150	0.015918
21	ver1to2	0.000100	0.000308
22	ver1to2	0.003150	0.003483
23	ver1to2	0.000000	0.000000
24	ver1to2	0.003450	0.002235
25	ver1to2	0.001400	0.000883
26	ver1to2	0.003200	0.001473
27	ver1to2	0.001000	0.000649
28	ver1to2	0.000900	0.000912
29	ver1to2	0.003750	0.001773
30	ver1to2	0.001550	0.001731
31	ver1to2	0.004900	0.002693
32	ver1to2	0.000400	0.000503
33	ver1to2	0.004900	0.003508
34	ver1to2	0.001000	0.000973
35	ver1to2	0.000100	0.000308
0	ver1to3	0.000000	0.000000
1	ver1to3	0.010150	0.015865
2	ver1to3	0.002800	0.003381
3	ver1to3	0.004600	0.002703
4	ver1to3	0.045300	0.043808
5	ver1to3	0.007300	0.021524
6	ver1to3	0.001850	0.001268
7	ver1to3	0.000000	0.000000
8	ver1to3	0.000450	0.000887
9	ver1to3	0.003050	0.002460
10	ver1to3	0.000000	0.000000
11	ver1to3	0.004000	0.009038
12	ver1to3	0.001000	0.001026
13	ver1to3	0.003000	0.001806
14	ver1to3	0.000650	0.000745
15	ver1to3	0.001200	0.000834
16	ver1to3	0.002600	0.001429
17	ver1to3	0.004950	0.002139
18	ver1to3	0.004350	0.003407
19	ver1to3	0.006200	0.004607
20	ver1to3	0.009600	0.006004
21	ver1to3	0.000300	0.000733
22	ver1to3	0.003300	0.002155
23	ver1to3	0.000000	0.000000
24	ver1to3	0.004000	0.001835
25	ver1to3	0.001300	0.000865
26	ver1to3	0.003900	0.002125
27	ver1to3	0.001150	0.000933
28	ver1to3	0.000850	0.000813
29	ver1to3	0.004000	0.001451
30	ver1to3	0.001350	0.001565
31	ver1to3	0.005450	0.002946
32	ver1to3	0.000500	0.000513
33	ver1to3	0.005000	0.002753
34	ver1to3	0.001450	0.000759
35	ver1to3	0.000200	0.000696
0	ver2to3	0.000000	0.000000
1	ver2to3	0.000850	0.001137
2	ver2to3	0.000400	0.000598
3	ver2to3	0.001100	0.000788
4	ver2to3	0.004800	0.005337
5	ver2to3	0.001050	0.003790
6	ver2to3	0.000350	0.000489
7	ver2to3	0.000000	0.000000
8	ver2to3	0.000300	0.000923
9	ver2to3	0.001400	0.001046
10	ver2to3	0.000000	0.000000
11	ver2to3	0.001850	0.002834
12	ver2to3	0.000650	0.000875
13	ver2to3	0.001500	0.001100
14	ver2to3	0.000250	0.000550
15	ver2to3	0.000450	0.000605
16	ver2to3	0.001700	0.001342
17	ver2to3	0.002400	0.001536
18	ver2to3	0.002700	0.001895
19	ver2to3	0.002950	0.002328
20	ver2to3	0.007750	0.007608
21	ver2to3	0.000050	0.000224
22	ver2to3	0.001650	0.001755
23	ver2to3	0.000000	0.000000
24	ver2to3	0.002100	0.001410
25	ver2to3	0.000400	0.000503
26	ver2to3	0.002300	0.002577
27	ver2to3	0.000300	0.000470
28	ver2to3	0.000250	0.000444
29	ver2to3	0.001550	0.000686
30	ver2to3	0.000400	0.000598
31	ver2to3	0.001350	0.000813
32	ver2to3	0.000000	0.000000
33	ver2to3	0.001600	0.000883
34	ver2to3	0.000050	0.000224
35	ver2to3	0.000050	0.000224
0	version1	0.000000	0.000000
1	version1	0.008700	0.014762
2	version1	0.002850	0.002925
3	version1	0.003600	0.001903
4	version1	0.052400	0.050024
5	version1	0.003650	0.004716
6	version1	0.001700	0.001261
7	version1	0.000000	0.000000
8	version1	0.000350	0.000587
9	version1	0.002450	0.001468
10	version1	0.000000	0.000000
11	version1	0.002650	0.003281
12	version1	0.000800	0.001105
13	version1	0.002550	0.001276
14	version1	0.000400	0.000598
15	version1	0.001200	0.001152
16	version1	0.002350	0.001631
17	version1	0.003850	0.002681
18	version1	0.005450	0.007884
19	version1	0.004100	0.003669
20	version1	0.007250	0.007893
21	version1	0.000150	0.000366
22	version1	0.002900	0.002972
23	version1	0.000000	0.000000
24	version1	0.003050	0.001905
25	version1	0.001200	0.001105
26	version1	0.003500	0.002140
27	version1	0.000650	0.000587
28	version1	0.000800	0.000768
29	version1	0.003550	0.001791
30	version1	0.001550	0.002235
31	version1	0.005450	0.003832
32	version1	0.000550	0.000510
33	version1	0.005200	0.004641
34	version1	0.001450	0.001050
35	version1	0.000050	0.000224
0	version2	0.000000	0.000000
1	version2	0.001950	0.002929
2	version2	0.000250	0.000550
3	version2	0.001100	0.001119
4	version2	0.002900	0.003523
5	version2	0.000750	0.002173
6	version2	0.000300	0.000657
7	version2	0.000000	0.000000
8	version2	0.000150	0.000366
9	version2	0.001050	0.001146
10	version2	0.000000	0.000000
11	version2	0.002150	0.002412
12	version2	0.000300	0.000571
13	version2	0.001250	0.001743
14	version2	0.000200	0.000410
15	version2	0.000250	0.000716
16	version2	0.001450	0.001317
17	version2	0.001850	0.001872
18	version2	0.002000	0.002340
19	version2	0.002150	0.001872
20	version2	0.002850	0.002519
21	version2	0.000000	0.000000
22	version2	0.001000	0.000725
23	version2	0.000000	0.000000
24	version2	0.001350	0.001089
25	version2	0.000200	0.000523
26	version2	0.001500	0.001000
27	version2	0.000250	0.000550
28	version2	0.000150	0.000366
29	version2	0.001150	0.000875
30	version2	0.000300	0.000470
31	version2	0.001200	0.000834
32	version2	0.000100	0.000308
33	version2	0.001400	0.001095
34	version2	0.000100	0.000308
35	version2	0.000000	0.000000
0	version3	0.000000	0.000000
1	version3	0.001650	0.003014
2	version3	0.000500	0.000761
3	version3	0.001800	0.001735
4	version3	0.004600	0.007052
5	version3	0.002950	0.010674
6	version3	0.000650	0.000745
7	version3	0.000000	0.000000
8	version3	0.000300	0.000571
9	version3	0.001700	0.001081
10	version3	0.000000	0.000000
11	version3	0.004050	0.007089
12	version3	0.000550	0.000945
13	version3	0.001900	0.001774
14	version3	0.000350	0.000587
15	version3	0.000650	0.000813
16	version3	0.001950	0.001356
17	version3	0.003050	0.002585
18	version3	0.003750	0.005035
19	version3	0.004050	0.002982
20	version3	0.006800	0.005540
21	version3	0.000050	0.000224
22	version3	0.002050	0.001538
23	version3	0.000000	0.000000
24	version3	0.002600	0.001903
25	version3	0.000400	0.000503
26	version3	0.003350	0.002758
27	version3	0.000500	0.000688
28	version3	0.000350	0.000813
29	version3	0.001950	0.001638
30	version3	0.000250	0.000550
31	version3	0.001900	0.001373
32	version3	0.000100	0.000308
33	version3	0.002550	0.002328
34	version3	0.000100	0.000308
35	version3	0.000000	0.000000

