================================================================================
cosine_similarity by layer
================================================================================
layer	version	mean	std
18	ver1to3	0.637899	0.166045
19	ver1to3	0.644730	0.130291
20	ver1to3	0.612615	0.168322
21	ver1to3	0.646076	0.148162
22	ver1to3	0.706390	0.111628
23	ver1to3	0.705527	0.119130
24	ver1to3	0.600070	0.175600
25	ver1to3	0.662700	0.106189
26	ver1to3	0.545282	0.162819
27	ver1to3	0.585593	0.137878
28	ver1to3	0.570460	0.138239
29	ver1to3	0.549777	0.183473
30	ver1to3	0.665919	0.099061
31	ver1to3	0.546338	0.150113
32	ver1to3	0.596744	0.113966
33	ver1to3	0.494441	0.189034
34	ver1to3	0.584748	0.120602
35	ver1to3	0.740112	0.064072
0	ver2to3	0.970028	0.020806
1	ver2to3	0.849070	0.041764
2	ver2to3	0.668181	0.108351
3	ver2to3	0.660230	0.106273
4	ver2to3	0.840026	0.067853
5	ver2to3	0.766978	0.086545
6	ver2to3	0.738780	0.078014
7	ver2to3	0.516145	0.135902
8	ver2to3	0.830711	0.060522
9	ver2to3	0.520868	0.193668
10	ver2to3	0.843046	0.056600
11	ver2to3	0.742574	0.095556
12	ver2to3	0.680287	0.123137
13	ver2to3	0.535888	0.198624
14	ver2to3	0.733900	0.095961
15	ver2to3	0.603733	0.166940
16	ver2to3	0.663368	0.149144
17	ver2to3	0.665353	0.173527
18	ver2to3	0.669447	0.171178
19	ver2to3	0.680659	0.137305
20	ver2to3	0.645568	0.176942
21	ver2to3	0.680742	0.150515
22	ver2to3	0.730183	0.119062
23	ver2to3	0.734845	0.123064
24	ver2to3	0.633925	0.185054
25	ver2to3	0.691455	0.115800
26	ver2to3	0.582666	0.175008
27	ver2to3	0.621051	0.146420
28	ver2to3	0.612954	0.144603
29	ver2to3	0.583832	0.198121
30	ver2to3	0.692803	0.109817
31	ver2to3	0.589090	0.161596
32	ver2to3	0.628420	0.126441
33	ver2to3	0.536793	0.205804
34	ver2to3	0.624638	0.131700
35	ver2to3	0.763576	0.072620
0	version1	0.968958	0.019678
1	version1	0.839011	0.041109
2	version1	0.647427	0.102005
3	version1	0.641676	0.099944
4	version1	0.830039	0.068264
5	version1	0.751444	0.088281
6	version1	0.723884	0.082601
7	version1	0.494148	0.128915
8	version1	0.822217	0.058741
9	version1	0.494617	0.174886
10	version1	0.834500	0.056175
11	version1	0.729632	0.091303
12	version1	0.659533	0.114450
13	version1	0.512450	0.180858
14	version1	0.728407	0.090435
15	version1	0.582292	0.157877
16	version1	0.644383	0.140932
17	version1	0.651569	0.163901
18	version1	0.650031	0.165352
19	version1	0.658638	0.129124
20	version1	0.627132	0.166304
21	version1	0.666480	0.144237
22	version1	0.717037	0.112817
23	version1	0.717104	0.120090
24	version1	0.615047	0.173258
25	version1	0.677010	0.108963
26	version1	0.564581	0.161972
27	version1	0.601716	0.140730
28	version1	0.595499	0.136292
29	version1	0.559512	0.180885
30	version1	0.676242	0.103829
31	version1	0.563064	0.151615
32	version1	0.611743	0.118279
33	version1	0.511514	0.185173
34	version1	0.606386	0.120913
35	version1	0.752580	0.070200
0	version2	0.970766	0.021407
1	version2	0.846674	0.050199
2	version2	0.671289	0.119148
3	version2	0.665260	0.118736
4	version2	0.842915	0.072613
5	version2	0.768343	0.092131
6	version2	0.744798	0.090077
7	version2	0.520042	0.156747
8	version2	0.834122	0.065428
9	version2	0.528520	0.203553
10	version2	0.846251	0.060957
11	version2	0.747023	0.102645
12	version2	0.679680	0.132077
13	version2	0.541355	0.210730
14	version2	0.738105	0.104905
15	version2	0.604845	0.178241
16	version2	0.668689	0.157781
17	version2	0.671744	0.179955
18	version2	0.672355	0.180231
19	version2	0.677479	0.147983
20	version2	0.647832	0.187502
21	version2	0.682490	0.161010
22	version2	0.733735	0.126331
23	version2	0.739337	0.129009
24	version2	0.637790	0.195203
25	version2	0.692013	0.125517
26	version2	0.591159	0.185350
27	version2	0.629185	0.155361
28	version2	0.614687	0.157421
29	version2	0.592226	0.206414
30	version2	0.701543	0.116137
31	version2	0.592210	0.174033
32	version2	0.634280	0.137235
33	version2	0.543860	0.215284
34	version2	0.626662	0.140017
35	version2	0.767218	0.080394
0	version3	0.971571	0.020369
1	version3	0.846149	0.044465
2	version3	0.669638	0.110244
3	version3	0.657684	0.113686
4	version3	0.842616	0.067965
5	version3	0.772419	0.087062
6	version3	0.740106	0.081702
7	version3	0.514430	0.139208
8	version3	0.833398	0.061692
9	version3	0.530076	0.194726
10	version3	0.844356	0.058633
11	version3	0.746443	0.097093
12	version3	0.684387	0.125903
13	version3	0.542415	0.201606
14	version3	0.740336	0.098439
15	version3	0.606984	0.168638
16	version3	0.668929	0.151309
17	version3	0.672498	0.177294
18	version3	0.675389	0.175042
19	version3	0.677212	0.144337
20	version3	0.649965	0.181420
21	version3	0.685836	0.156104
22	version3	0.736324	0.121686
23	version3	0.740567	0.126226
24	version3	0.644387	0.188027
25	version3	0.695049	0.118240
26	version3	0.594581	0.176373
27	version3	0.625572	0.147266
28	version3	0.619190	0.147452
29	version3	0.599215	0.199024
30	version3	0.692904	0.113126
31	version3	0.593178	0.164801
32	version3	0.634418	0.129779
33	version3	0.548777	0.206551
34	version3	0.636118	0.135598
35	version3	0.763475	0.074661

================================================================================
cosine_similarity by decode_step
================================================================================
decode_step	version	mean	std
0	ver1to2	0.846244	0.076627
1	ver1to2	0.879032	0.068043
2	ver1to2	0.882586	0.072339
3	ver1to2	0.903010	0.064430
4	ver1to2	0.801313	0.134003
5	ver1to2	0.849357	0.093640
6	ver1to2	0.817624	0.108699
7	ver1to2	0.820054	0.110163
8	ver1to2	0.786626	0.123481
9	ver1to2	0.751631	0.152396
10	ver1to2	0.723735	0.164273
11	ver1to2	0.731256	0.160029
12	ver1to2	0.757138	0.159487
13	ver1to2	0.743822	0.145072
14	ver1to2	0.737800	0.156232
15	ver1to2	0.718644	0.169060
16	ver1to2	0.730311	0.149369
17	ver1to2	0.725436	0.147460
18	ver1to2	0.706290	0.168544
19	ver1to2	0.664414	0.159463
20	ver1to2	0.683311	0.152149
21	ver1to2	0.676497	0.147428
22	ver1to2	0.680036	0.148489
23	ver1to2	0.645936	0.147319
24	ver1to2	0.656636	0.160958
25	ver1to2	0.671694	0.161090
26	ver1to2	0.673092	0.150560
27	ver1to2	0.676575	0.137326
28	ver1to2	0.678131	0.140786
29	ver1to2	0.669940	0.145064
30	ver1to2	0.662418	0.141448
31	ver1to2	0.658085	0.141183
32	ver1to2	0.643254	0.139988
33	ver1to2	0.642381	0.158526
34	ver1to2	0.638549	0.175335
35	ver1to2	0.624556	0.164609
36	ver1to2	0.631481	0.165027
37	ver1to2	0.641271	0.170128
38	ver1to2	0.631733	0.166902
39	ver1to2	0.628721	0.161580
40	ver1to2	0.639915	0.151361
41	ver1to2	0.638861	0.141918
42	ver1to2	0.637188	0.141720
43	ver1to2	0.621300	0.147703
44	ver1to2	0.624850	0.138401
45	ver1to2	0.613033	0.148664
46	ver1to2	0.604788	0.151281
47	ver1to2	0.609060	0.160814
48	ver1to2	0.605874	0.177696
49	ver1to2	0.613986	0.155551
50	ver1to2	0.612485	0.154435
51	ver1to2	0.608351	0.164347
52	ver1to2	0.606651	0.163123
53	ver1to2	0.596513	0.175732
54	ver1to2	0.592010	0.160962
55	ver1to2	0.586544	0.167459
56	ver1to2	0.617960	0.153155
57	ver1to2	0.613029	0.153895
58	ver1to2	0.621287	0.154678
59	ver1to2	0.619156	0.149322
60	ver1to2	0.610275	0.144653
61	ver1to2	0.634065	0.140916
62	ver1to2	0.640050	0.145936
63	ver1to2	0.628485	0.149944
64	ver1to2	0.620171	0.152214
65	ver1to2	0.618728	0.156028
66	ver1to2	0.619469	0.149366
67	ver1to2	0.631793	0.164848
68	ver1to2	0.620675	0.162449
69	ver1to2	0.614546	0.155665
70	ver1to2	0.609501	0.154287
71	ver1to2	0.612893	0.158560
72	ver1to2	0.635222	0.155784
73	ver1to2	0.632203	0.177327
74	ver1to2	0.627676	0.165262
75	ver1to2	0.648450	0.151894
76	ver1to2	0.625151	0.167683
77	ver1to2	0.621367	0.164992
78	ver1to2	0.634411	0.149669
79	ver1to2	0.632424	0.153600
80	ver1to2	0.620229	0.165787
81	ver1to2	0.614133	0.151339
82	ver1to2	0.610461	0.156524
83	ver1to2	0.615939	0.159130
84	ver1to2	0.607035	0.168133
85	ver1to2	0.630117	0.159064
86	ver1to2	0.630861	0.155138
87	ver1to2	0.604579	0.159962
88	ver1to2	0.598347	0.163311
89	ver1to2	0.603832	0.147726
90	ver1to2	0.614432	0.151722
91	ver1to2	0.613804	0.155441
92	ver1to2	0.599704	0.163731
93	ver1to2	0.579557	0.170032
94	ver1to2	0.587944	0.161493
95	ver1to2	0.590529	0.168648
96	ver1to2	0.604949	0.161708
97	ver1to2	0.592882	0.176031
98	ver1to2	0.602951	0.168213
99	ver1to2	0.604618	0.161943
0	ver1to3	0.839257	0.072884
1	ver1to3	0.875228	0.063820
2	ver1to3	0.879304	0.069960
3	ver1to3	0.900735	0.062089
4	ver1to3	0.805760	0.123547
5	ver1to3	0.845992	0.091567
6	ver1to3	0.809501	0.094335
7	ver1to3	0.810399	0.095394
8	ver1to3	0.774943	0.108741
9	ver1to3	0.724507	0.142835
10	ver1to3	0.686431	0.150697
11	ver1to3	0.701385	0.153661
12	ver1to3	0.746574	0.163504
13	ver1to3	0.722549	0.141166
14	ver1to3	0.719769	0.148946
15	ver1to3	0.692207	0.166932
16	ver1to3	0.696974	0.153857
17	ver1to3	0.690679	0.151241
18	ver1to3	0.674665	0.166187
19	ver1to3	0.656956	0.156903
20	ver1to3	0.684049	0.143680
21	ver1to3	0.673853	0.145931
22	ver1to3	0.670396	0.137225
23	ver1to3	0.662924	0.153848
24	ver1to3	0.680293	0.149266
25	ver1to3	0.671964	0.156681
26	ver1to3	0.667869	0.145563
27	ver1to3	0.661858	0.144893
28	ver1to3	0.672739	0.136459
29	ver1to3	0.651821	0.143863
30	ver1to3	0.674379	0.142373
31	ver1to3	0.649206	0.138695
32	ver1to3	0.661675	0.154521
33	ver1to3	0.636175	0.155909
34	ver1to3	0.635879	0.153030
35	ver1to3	0.616401	0.155991
36	ver1to3	0.640908	0.146590
37	ver1to3	0.637721	0.144189
38	ver1to3	0.635699	0.150623
39	ver1to3	0.659392	0.130690
40	ver1to3	0.654243	0.127087
41	ver1to3	0.635547	0.138568
42	ver1to3	0.644589	0.135768
43	ver1to3	0.632368	0.139653
44	ver1to3	0.639453	0.148190
45	ver1to3	0.616726	0.149144
46	ver1to3	0.606572	0.159365
47	ver1to3	0.614861	0.155074
48	ver1to3	0.612021	0.167504
49	ver1to3	0.614658	0.162964
50	ver1to3	0.638497	0.147753
51	ver1to3	0.635675	0.153804
52	ver1to3	0.636056	0.167117
53	ver1to3	0.623311	0.161516
54	ver1to3	0.603076	0.163672
55	ver1to3	0.640997	0.167859
56	ver1to3	0.627360	0.158996
57	ver1to3	0.609961	0.173264
58	ver1to3	0.623038	0.170157
59	ver1to3	0.619889	0.175096
60	ver1to3	0.614861	0.160350
61	ver1to3	0.641440	0.156359
62	ver1to3	0.637811	0.145451
63	ver1to3	0.640160	0.138961
64	ver1to3	0.618735	0.159365
65	ver1to3	0.613201	0.160165
66	ver1to3	0.586371	0.179533
67	ver1to3	0.582149	0.181169
68	ver1to3	0.605174	0.166833
69	ver1to3	0.606083	0.182747
70	ver1to3	0.631208	0.162591
71	ver1to3	0.642822	0.166522
72	ver1to3	0.623578	0.157802
73	ver1to3	0.621296	0.162076
74	ver1to3	0.613790	0.150219
75	ver1to3	0.616840	0.161063
76	ver1to3	0.599443	0.163676
77	ver1to3	0.600169	0.163789
78	ver1to3	0.602476	0.152466
79	ver1to3	0.605547	0.159043
80	ver1to3	0.602992	0.163854
81	ver1to3	0.619772	0.160807
82	ver1to3	0.625376	0.166207
83	ver1to3	0.614633	0.173092
84	ver1to3	0.610951	0.160302
85	ver1to3	0.606821	0.155444
86	ver1to3	0.591718	0.157836
87	ver1to3	0.611324	0.151388
88	ver1to3	0.591540	0.167029
89	ver1to3	0.604019	0.160776
90	ver1to3	0.593939	0.162380
91	ver1to3	0.590106	0.166382
92	ver1to3	0.572311	0.183948
93	ver1to3	0.592231	0.171648
94	ver1to3	0.596814	0.164309
95	ver1to3	0.587565	0.167530
96	ver1to3	0.595187	0.159799
97	ver1to3	0.593297	0.174076
98	ver1to3	0.603969	0.165697
99	ver1to3	0.592146	0.179726
0	ver2to3	0.861749	0.067885
1	ver2to3	0.896024	0.061027
2	ver2to3	0.908900	0.057956
3	ver2to3	0.921214	0.055656
4	ver2to3	0.891708	0.061030
5	ver2to3	0.894775	0.062788
6	ver2to3	0.869849	0.076806
7	ver2to3	0.871536	0.081890
8	ver2to3	0.867319	0.095676
9	ver2to3	0.841318	0.107962
10	ver2to3	0.814450	0.123985
11	ver2to3	0.830818	0.114079
12	ver2to3	0.852376	0.116487
13	ver2to3	0.820229	0.108391
14	ver2to3	0.805211	0.108527
15	ver2to3	0.792262	0.119287
16	ver2to3	0.787144	0.122090
17	ver2to3	0.758644	0.134257
18	ver2to3	0.756143	0.138925
19	ver2to3	0.736836	0.140983
20	ver2to3	0.743424	0.133342
21	ver2to3	0.722960	0.150368
22	ver2to3	0.717231	0.148928
23	ver2to3	0.706278	0.150618
24	ver2to3	0.704908	0.151339
25	ver2to3	0.724583	0.136368
26	ver2to3	0.702801	0.148201
27	ver2to3	0.693738	0.127528
28	ver2to3	0.692276	0.128370
29	ver2to3	0.702868	0.137285
30	ver2to3	0.693235	0.141588
31	ver2to3	0.680360	0.130583
32	ver2to3	0.657714	0.145695
33	ver2to3	0.665058	0.130821
34	ver2to3	0.662906	0.139628
35	ver2to3	0.659685	0.127548
36	ver2to3	0.652950	0.133208
37	ver2to3	0.645358	0.139715
38	ver2to3	0.649549	0.135178
39	ver2to3	0.656324	0.142545
40	ver2to3	0.662287	0.138280
41	ver2to3	0.647765	0.145762
42	ver2to3	0.660203	0.143801
43	ver2to3	0.642858	0.154726
44	ver2to3	0.672562	0.139972
45	ver2to3	0.627574	0.153127
46	ver2to3	0.633992	0.157530
47	ver2to3	0.632881	0.154555
48	ver2to3	0.639453	0.160424
49	ver2to3	0.644976	0.159317
50	ver2to3	0.640053	0.157842
51	ver2to3	0.638426	0.145572
52	ver2to3	0.609776	0.164678
53	ver2to3	0.618206	0.166388
54	ver2to3	0.631751	0.165743
55	ver2to3	0.626444	0.168933
56	ver2to3	0.626071	0.174239
57	ver2to3	0.637772	0.162102
58	ver2to3	0.629592	0.147220
59	ver2to3	0.615481	0.153066
60	ver2to3	0.624571	0.151874
61	ver2to3	0.641946	0.148830
62	ver2to3	0.644601	0.150125
63	ver2to3	0.628686	0.153375
64	ver2to3	0.615571	0.147759
65	ver2to3	0.639035	0.150069
66	ver2to3	0.633685	0.167085
67	ver2to3	0.607967	0.157400
68	ver2to3	0.622237	0.157080
69	ver2to3	0.617358	0.149009
70	ver2to3	0.602592	0.162327
71	ver2to3	0.613762	0.160453
72	ver2to3	0.608831	0.167209
73	ver2to3	0.621556	0.157477
74	ver2to3	0.643311	0.160991
75	ver2to3	0.628585	0.163802
76	ver2to3	0.607371	0.166784
77	ver2to3	0.613151	0.155201
78	ver2to3	0.631747	0.151461
79	ver2to3	0.642699	0.151830
80	ver2to3	0.619410	0.146178
81	ver2to3	0.625167	0.159825
82	ver2to3	0.629149	0.163966
83	ver2to3	0.629692	0.173446
84	ver2to3	0.618204	0.166631
85	ver2to3	0.633199	0.160948
86	ver2to3	0.622703	0.159388
87	ver2to3	0.622061	0.158488
88	ver2to3	0.606044	0.173951
89	ver2to3	0.619364	0.165544
90	ver2to3	0.611736	0.161707
91	ver2to3	0.623125	0.164863
92	ver2to3	0.628801	0.161137
93	ver2to3	0.618771	0.174580
94	ver2to3	0.613289	0.169374
95	ver2to3	0.620651	0.171846
96	ver2to3	0.629558	0.153116
97	ver2to3	0.607303	0.169712
98	ver2to3	0.610972	0.173136
99	ver2to3	0.614625	0.158249
0	version1	0.853800	0.075326
1	version1	0.886129	0.066275
2	version1	0.887742	0.072158
3	version1	0.907735	0.064292
4	version1	0.810956	0.135892
5	version1	0.853165	0.095149
6	version1	0.818133	0.114063
7	version1	0.822497	0.113362
8	version1	0.809354	0.124566
9	version1	0.779292	0.150582
10	version1	0.752004	0.161418
11	version1	0.742549	0.161307
12	version1	0.747839	0.163632
13	version1	0.739346	0.161073
14	version1	0.743318	0.154274
15	version1	0.711197	0.175494
16	version1	0.712364	0.173131
17	version1	0.723306	0.159957
18	version1	0.693450	0.170787
19	version1	0.672275	0.157219
20	version1	0.678544	0.151233
21	version1	0.673314	0.153007
22	version1	0.670247	0.147462
23	version1	0.651640	0.147674
24	version1	0.679318	0.145814
25	version1	0.675657	0.148465
26	version1	0.687039	0.136857
27	version1	0.677058	0.132269
28	version1	0.665889	0.137740
29	version1	0.661857	0.139435
30	version1	0.647772	0.138394
31	version1	0.643993	0.140930
32	version1	0.653332	0.136505
33	version1	0.630014	0.149935
34	version1	0.621472	0.149438
35	version1	0.642456	0.142108
36	version1	0.629404	0.142353
37	version1	0.628410	0.146308
38	version1	0.618208	0.143201
39	version1	0.618774	0.151433
40	version1	0.631853	0.148139
41	version1	0.602847	0.160353
42	version1	0.618517	0.154041
43	version1	0.635524	0.156682
44	version1	0.629685	0.154871
45	version1	0.641340	0.146486
46	version1	0.627300	0.159529
47	version1	0.626876	0.149534
48	version1	0.632893	0.168000
49	version1	0.640358	0.156830
50	version1	0.632704	0.147756
51	version1	0.644940	0.152657
52	version1	0.646236	0.152227
53	version1	0.648172	0.141560
54	version1	0.619010	0.155681
55	version1	0.635321	0.157444
56	version1	0.617547	0.146128
57	version1	0.599710	0.161545
58	version1	0.634815	0.143476
59	version1	0.650815	0.150630
60	version1	0.652328	0.152292
61	version1	0.660769	0.136719
62	version1	0.650772	0.133979
63	version1	0.645672	0.138889
64	version1	0.650712	0.147769
65	version1	0.648346	0.137740
66	version1	0.626971	0.152954
67	version1	0.619664	0.163394
68	version1	0.617439	0.159293
69	version1	0.613378	0.155926
70	version1	0.637060	0.152104
71	version1	0.623375	0.165428
72	version1	0.633686	0.156690
73	version1	0.628326	0.168622
74	version1	0.609757	0.158640
75	version1	0.625594	0.150406
76	version1	0.619569	0.158609
77	version1	0.615993	0.160266
78	version1	0.618193	0.163553
79	version1	0.631372	0.164318
80	version1	0.623158	0.160946
81	version1	0.636928	0.165143
82	version1	0.627318	0.169429
83	version1	0.617351	0.164887
84	version1	0.651785	0.155219
85	version1	0.637576	0.160068
86	version1	0.622018	0.156853
87	version1	0.635436	0.160061
88	version1	0.629632	0.149036
89	version1	0.632769	0.155627
90	version1	0.629261	0.167238
91	version1	0.644447	0.172233
92	version1	0.616117	0.174653
93	version1	0.622024	0.166774
94	version1	0.616340	0.169607
95	version1	0.616451	0.162610
96	version1	0.606142	0.171984
97	version1	0.614042	0.162952
98	version1	0.611218	0.165413
99	version1	0.608988	0.164819
0	version2	0.859678	0.074635
1	version2	0.896361	0.061708
2	version2	0.909476	0.057747
3	version2	0.922104	0.055209
4	version2	0.893593	0.062360
5	version2	0.893118	0.063509
6	version2	0.853904	0.090771
7	version2	0.850171	0.099248
8	version2	0.842222	0.113805
9	version2	0.817065	0.133872
10	version2	0.810207	0.140559
11	version2	0.822211	0.138062
12	version2	0.843704	0.145342
13	version2	0.820739	0.126726
14	version2	0.805894	0.133962
15	version2	0.801140	0.128599
16	version2	0.806714	0.120775
17	version2	0.804481	0.116852
18	version2	0.776060	0.135310
19	version2	0.747967	0.155256
20	version2	0.743150	0.153707
21	version2	0.733161	0.156473
22	version2	0.726103	0.150278
23	version2	0.730824	0.143972
24	version2	0.740578	0.150117
25	version2	0.742392	0.153897
26	version2	0.725256	0.159948
27	version2	0.722218	0.155766
28	version2	0.733797	0.156064
29	version2	0.746139	0.149271
30	version2	0.718542	0.152367
31	version2	0.696871	0.149556
32	version2	0.685163	0.170254
33	version2	0.684349	0.151204
34	version2	0.689385	0.143805
35	version2	0.671858	0.153458
36	version2	0.682800	0.151822
37	version2	0.671943	0.154691
38	version2	0.663610	0.149204
39	version2	0.639024	0.167899
40	version2	0.654621	0.160477
41	version2	0.640414	0.172373
42	version2	0.650210	0.164160
43	version2	0.662837	0.161186
44	version2	0.675007	0.155713
45	version2	0.655279	0.144500
46	version2	0.631457	0.146460
47	version2	0.637563	0.150085
48	version2	0.629329	0.156498
49	version2	0.632329	0.155160
50	version2	0.635707	0.150795
51	version2	0.634500	0.149059
52	version2	0.641601	0.153857
53	version2	0.619362	0.156084
54	version2	0.619131	0.167876
55	version2	0.621432	0.167039
56	version2	0.631089	0.177226
57	version2	0.616096	0.181315
58	version2	0.636283	0.169622
59	version2	0.655590	0.158351
60	version2	0.651942	0.159482
61	version2	0.671092	0.160705
62	version2	0.641092	0.172223
63	version2	0.611825	0.157623
64	version2	0.636090	0.162924
65	version2	0.640015	0.158172
66	version2	0.632731	0.159897
67	version2	0.597689	0.167897
68	version2	0.595131	0.165139
69	version2	0.608679	0.159080
70	version2	0.608908	0.157044
71	version2	0.599821	0.170484
72	version2	0.592367	0.177102
73	version2	0.607036	0.164858
74	version2	0.634699	0.163612
75	version2	0.630492	0.155552
76	version2	0.616703	0.167353
77	version2	0.636307	0.173422
78	version2	0.635481	0.162985
79	version2	0.650369	0.163713
80	version2	0.646621	0.158061
81	version2	0.628085	0.161448
82	version2	0.616804	0.162363
83	version2	0.629171	0.159203
84	version2	0.625692	0.175911
85	version2	0.630463	0.169363
86	version2	0.638346	0.161673
87	version2	0.618071	0.157804
88	version2	0.613736	0.166315
89	version2	0.615592	0.169942
90	version2	0.604143	0.165936
91	version2	0.607093	0.167589
92	version2	0.607818	0.170761
93	version2	0.599542	0.166703
94	version2	0.594490	0.179623
95	version2	0.600974	0.165795
96	version2	0.586806	0.172398
97	version2	0.615956	0.154987
98	version2	0.611246	0.160066
99	version2	0.625086	0.178879
0	version3	0.854968	0.071947
1	version3	0.894172	0.062821
2	version3	0.907500	0.058527
3	version3	0.921007	0.056678
4	version3	0.891079	0.061801
5	version3	0.891449	0.065216
6	version3	0.846181	0.085815
7	version3	0.841068	0.094281
8	version3	0.829187	0.116400
9	version3	0.806115	0.128457
10	version3	0.777783	0.138120
11	version3	0.793317	0.133703
12	version3	0.816986	0.145196
13	version3	0.785006	0.127110
14	version3	0.770049	0.125812
15	version3	0.776540	0.132943
16	version3	0.786539	0.123605
17	version3	0.759417	0.136927
18	version3	0.741293	0.141854
19	version3	0.719647	0.143911
20	version3	0.710101	0.150416
21	version3	0.712469	0.154603
22	version3	0.695796	0.156368
23	version3	0.681661	0.158662
24	version3	0.707233	0.149484
25	version3	0.709761	0.153395
26	version3	0.683686	0.164050
27	version3	0.684728	0.158612
28	version3	0.688887	0.166195
29	version3	0.713040	0.151183
30	version3	0.689250	0.155796
31	version3	0.682583	0.134390
32	version3	0.654165	0.153821
33	version3	0.665482	0.156354
34	version3	0.664436	0.156592
35	version3	0.672493	0.159457
36	version3	0.655746	0.164350
37	version3	0.658274	0.156936
38	version3	0.653140	0.137654
39	version3	0.638175	0.157772
40	version3	0.664931	0.151562
41	version3	0.655564	0.165832
42	version3	0.660867	0.157060
43	version3	0.679867	0.144130
44	version3	0.667681	0.151247
45	version3	0.691825	0.136592
46	version3	0.684219	0.135261
47	version3	0.663314	0.144107
48	version3	0.666504	0.150152
49	version3	0.659024	0.160038
50	version3	0.673140	0.167499
51	version3	0.668699	0.176797
52	version3	0.663687	0.165717
53	version3	0.667071	0.158213
54	version3	0.663072	0.164533
55	version3	0.667217	0.173287
56	version3	0.615542	0.188638
57	version3	0.624717	0.187655
58	version3	0.647979	0.179424
59	version3	0.670578	0.174843
60	version3	0.671628	0.166772
61	version3	0.669514	0.160283
62	version3	0.662449	0.151652
63	version3	0.638008	0.162519
64	version3	0.643346	0.167406
65	version3	0.632519	0.173443
66	version3	0.631732	0.165192
67	version3	0.616121	0.178633
68	version3	0.644100	0.163966
69	version3	0.650769	0.159404
70	version3	0.650171	0.171281
71	version3	0.644319	0.169955
72	version3	0.631490	0.168499
73	version3	0.633713	0.170513
74	version3	0.650326	0.151141
75	version3	0.647781	0.162504
76	version3	0.635622	0.164933
77	version3	0.609471	0.174571
78	version3	0.623485	0.164707
79	version3	0.640856	0.167395
80	version3	0.635111	0.158730
81	version3	0.622471	0.161892
82	version3	0.640793	0.159890
83	version3	0.630340	0.154713
84	version3	0.643937	0.155741
85	version3	0.619357	0.160382
86	version3	0.606728	0.167215
87	version3	0.614043	0.153170
88	version3	0.580483	0.181755
89	version3	0.612057	0.169837
90	version3	0.626786	0.172798
91	version3	0.651953	0.156215
92	version3	0.640490	0.156272
93	version3	0.630181	0.147815
94	version3	0.631556	0.143562
95	version3	0.618065	0.164547
96	version3	0.616413	0.165398
97	version3	0.619611	0.159220
98	version3	0.622329	0.151437
99	version3	0.625610	0.164285

================================================================================
js_divergence by layer
================================================================================
layer	version	mean	std
0	ver1to2	0.548045	0.449248
1	ver1to2	0.376902	0.364738
2	ver1to2	0.349214	0.296467
3	ver1to2	0.367696	0.258404
4	ver1to2	0.388645	0.400279
5	ver1to2	0.470694	0.477285
6	ver1to2	0.340377	0.265344
7	ver1to2	0.063430	0.137200
8	ver1to2	0.197024	0.284347
9	ver1to2	0.551682	0.257746
10	ver1to2	0.093950	0.179910
11	ver1to2	0.268220	0.245787
12	ver1to2	0.281261	0.295596
13	ver1to2	0.474347	0.272296
14	ver1to2	0.242573	0.255878
15	ver1to2	0.428563	0.276653
16	ver1to2	0.441783	0.291597
17	ver1to2	0.306656	0.294314
18	ver1to2	0.371800	0.285098
19	ver1to2	0.491281	0.240669
20	ver1to2	0.472529	0.327067
21	ver1to2	0.157511	0.258791
