task_id,layer,version1_cos,version1_js,version2_cos,version2_js,version3_cos,version3_js,ver1to2_cos,ver1to2_js,ver1to3_cos,ver1to3_js,ver2to3_cos,ver2to3_js
2,23,0.537,0.0,0.538,0.0,0.539,0.0,0.539,0.0,0.538,0.0,0.542,0.0
2,24,0.375,0.008,0.376,0.006,0.375,0.003,0.377,0.002,0.373,0.008,0.376,0.005
2,25,0.523,0.002,0.526,0.001,0.527,0.001,0.525,0.002,0.524,0.002,0.53,0.0
2,26,0.373,0.005,0.373,0.003,0.373,0.005,0.374,0.004,0.373,0.007,0.376,0.002
2,27,0.409,0.001,0.41,0.001,0.412,0.003,0.41,0.001,0.41,0.003,0.416,0.001
2,28,0.432,0.001,0.431,0.001,0.433,0.002,0.433,0.003,0.433,0.005,0.435,0.0
2,29,0.351,0.003,0.352,0.004,0.355,0.007,0.353,0.005,0.355,0.008,0.359,0.004
2,30,0.553,0.001,0.558,0.001,0.56,0.002,0.556,0.0,0.557,0.0,0.564,0.001
2,31,0.368,0.006,0.374,0.003,0.377,0.004,0.37,0.007,0.372,0.013,0.382,0.002
2,32,0.465,0.0,0.472,0.0,0.474,0.001,0.468,0.0,0.469,0.0,0.48,0.0
2,33,0.267,0.004,0.271,0.004,0.274,0.006,0.268,0.006,0.269,0.01,0.278,0.002
2,34,0.454,0.001,0.457,0.0,0.46,0.0,0.455,0.001,0.457,0.001,0.464,0.001
2,35,0.701,0.0,0.702,0.0,0.703,0.0,0.701,0.0,0.702,0.0,0.705,0.0
3,0,0.967,0.0,0.967,0.0,0.966,0.0,0.967,0.0,0.966,0.0,0.967,0.0
3,1,0.826,0.002,0.825,0.0,0.824,0.002,0.823,0.001,0.822,0.0,0.824,0.001
3,2,0.563,0.01,0.563,0.007,0.561,0.024,0.556,0.029,0.553,0.051,0.56,0.007
3,3,0.544,0.006,0.538,0.002,0.534,0.002,0.533,0.012,0.529,0.008,0.531,0.002
3,4,0.807,0.01,0.808,0.014,0.808,0.027,0.805,0.0,0.805,0.004,0.81,0.002
3,5,0.718,0.001,0.717,0.0,0.715,0.0,0.714,0.002,0.712,0.002,0.718,0.0
3,6,0.663,0.002,0.664,0.001,0.663,0.0,0.66,0.002,0.66,0.002,0.666,0.001
3,7,0.372,0.0,0.368,0.0,0.368,0.0,0.365,0.0,0.365,0.0,0.369,0.0
3,8,0.765,0.0,0.766,0.0,0.769,0.001,0.764,0.0,0.767,0.0,0.771,0.0
3,9,0.318,0.005,0.307,0.012,0.312,0.012,0.305,0.021,0.311,0.022,0.31,0.003
3,10,0.784,0.0,0.781,0.0,0.782,0.0,0.78,0.0,0.782,0.0,0.784,0.0
3,11,0.64,0.0,0.641,0.002,0.645,0.008,0.64,0.002,0.644,0.007,0.649,0.002
3,12,0.505,0.001,0.501,0.001,0.507,0.001,0.501,0.002,0.507,0.001,0.51,0.001
3,13,0.277,0.001,0.276,0.004,0.277,0.007,0.273,0.006,0.275,0.009,0.281,0.004
3,14,0.584,0.0,0.587,0.002,0.589,0.0,0.585,0.003,0.587,0.0,0.595,0.002
3,15,0.36,0.002,0.358,0.001,0.358,0.003,0.357,0.003,0.357,0.002,0.363,0.002
3,16,0.416,0.002,0.417,0.008,0.418,0.007,0.417,0.014,0.418,0.011,0.428,0.002
3,17,0.379,0.004,0.379,0.005,0.38,0.013,0.38,0.01,0.38,0.022,0.387,0.012
3,18,0.39,0.001,0.395,0.004,0.397,0.01,0.395,0.002,0.396,0.007,0.407,0.002
3,19,0.454,0.009,0.453,0.005,0.454,0.01,0.452,0.015,0.452,0.023,0.458,0.005
3,20,0.347,0.004,0.35,0.006,0.348,0.028,0.348,0.012,0.346,0.022,0.355,0.032
3,21,0.433,0.0,0.434,0.0,0.432,0.0,0.435,0.0,0.433,0.0,0.439,0.0
3,22,0.514,0.003,0.512,0.004,0.514,0.004,0.513,0.01,0.515,0.003,0.519,0.005
3,23,0.515,0.0,0.515,0.0,0.517,0.0,0.516,0.0,0.519,0.0,0.523,0.0
3,24,0.358,0.001,0.358,0.003,0.355,0.009,0.359,0.004,0.356,0.013,0.363,0.006
3,25,0.514,0.001,0.51,0.003,0.51,0.002,0.513,0.006,0.512,0.004,0.514,0.001
3,26,0.362,0.002,0.36,0.007,0.358,0.02,0.362,0.008,0.36,0.021,0.364,0.009
3,27,0.406,0.002,0.399,0.003,0.399,0.004,0.404,0.002,0.402,0.002,0.403,0.001
3,28,0.415,0.004,0.411,0.001,0.412,0.003,0.414,0.009,0.415,0.013,0.416,0.001
3,29,0.347,0.004,0.34,0.005,0.339,0.016,0.344,0.008,0.342,0.019,0.342,0.009
3,30,0.563,0.001,0.554,0.001,0.553,0.003,0.558,0.004,0.557,0.006,0.554,0.002
3,31,0.371,0.006,0.361,0.004,0.358,0.017,0.367,0.009,0.363,0.025,0.359,0.009
3,32,0.472,0.0,0.461,0.001,0.459,0.002,0.465,0.002,0.462,0.004,0.459,0.001
3,33,0.277,0.003,0.268,0.008,0.263,0.016,0.27,0.013,0.264,0.023,0.262,0.005
3,34,0.459,0.003,0.45,0.0,0.451,0.002,0.454,0.001,0.454,0.002,0.452,0.001
3,35,0.696,0.0,0.693,0.0,0.692,0.0,0.692,0.0,0.692,0.0,0.694,0.0
4,0,0.967,0.0,0.967,0.0,0.966,0.0,0.968,0.0,0.967,0.0,0.966,0.0
4,1,0.833,0.001,0.833,0.0,0.83,0.007,0.833,0.001,0.83,0.011,0.83,0.005
4,2,0.581,0.006,0.589,0.0,0.582,0.003,0.582,0.004,0.576,0.002,0.583,0.002
4,3,0.57,0.001,0.576,0.001,0.569,0.001,0.571,0.001,0.564,0.002,0.569,0.002
4,4,0.807,0.045,0.81,0.001,0.808,0.004,0.808,0.033,0.806,0.075,0.809,0.009
4,5,0.73,0.001,0.733,0.0,0.726,0.0,0.732,0.001,0.724,0.0,0.727,0.0
4,6,0.677,0.001,0.682,0.0,0.677,0.0,0.678,0.001,0.673,0.001,0.677,0.0
4,7,0.403,0.0,0.405,0.0,0.394,0.0,0.405,0.0,0.393,0.0,0.395,0.0
4,8,0.76,0.0,0.761,0.0,0.761,0.0,0.761,0.0,0.76,0.0,0.761,0.0
4,9,0.346,0.001,0.347,0.0,0.34,0.011,0.347,0.001,0.341,0.012,0.341,0.011
4,10,0.793,0.0,0.793,0.0,0.791,0.0,0.794,0.0,0.792,0.0,0.792,0.0
4,11,0.642,0.001,0.643,0.0,0.641,0.007,0.643,0.0,0.64,0.011,0.641,0.008
4,12,0.513,0.0,0.514,0.0,0.511,0.001,0.513,0.0,0.51,0.001,0.511,0.001
4,13,0.303,0.002,0.302,0.001,0.298,0.006,0.304,0.002,0.299,0.006,0.298,0.008
4,14,0.57,0.0,0.57,0.0,0.571,0.0,0.571,0.0,0.571,0.0,0.571,0.0
4,15,0.37,0.0,0.369,0.0,0.364,0.006,0.371,0.001,0.366,0.006,0.365,0.006
4,16,0.41,0.001,0.409,0.0,0.408,0.004,0.412,0.001,0.41,0.004,0.408,0.005
4,17,0.388,0.001,0.386,0.0,0.38,0.043,0.389,0.001,0.382,0.042,0.381,0.044
4,18,0.366,0.001,0.364,0.001,0.364,0.022,0.366,0.001,0.366,0.029,0.364,0.028
4,19,0.46,0.003,0.458,0.001,0.454,0.011,0.461,0.005,0.455,0.01,0.454,0.014
4,20,0.346,0.001,0.344,0.001,0.339,0.015,0.347,0.002,0.343,0.012,0.339,0.019
4,21,0.433,0.0,0.431,0.0,0.428,0.0,0.434,0.0,0.431,0.0,0.428,0.001
4,22,0.51,0.001,0.507,0.0,0.503,0.01,0.511,0.001,0.505,0.008,0.503,0.009
4,23,0.511,0.0,0.51,0.0,0.509,0.0,0.512,0.0,0.51,0.0,0.509,0.0
4,24,0.361,0.002,0.363,0.001,0.356,0.021,0.362,0.002,0.356,0.019,0.357,0.019
4,25,0.53,0.001,0.531,0.0,0.525,0.003,0.53,0.001,0.524,0.002,0.525,0.003
4,26,0.377,0.002,0.377,0.0,0.369,0.023,0.378,0.002,0.37,0.02,0.369,0.025
4,27,0.431,0.0,0.431,0.0,0.423,0.002,0.431,0.0,0.422,0.003,0.423,0.002
4,28,0.418,0.001,0.418,0.0,0.417,0.001,0.419,0.001,0.417,0.001,0.417,0.002
4,29,0.371,0.003,0.374,0.0,0.367,0.014,0.373,0.003,0.365,0.018,0.368,0.015
4,30,0.579,0.003,0.58,0.0,0.575,0.005,0.581,0.002,0.575,0.016,0.576,0.007
4,31,0.409,0.006,0.412,0.0,0.403,0.013,0.41,0.006,0.401,0.024,0.404,0.014
4,32,0.512,0.0,0.516,0.0,0.507,0.001,0.513,0.0,0.504,0.001,0.508,0.001
4,33,0.33,0.003,0.334,0.0,0.322,0.014,0.331,0.002,0.318,0.018,0.323,0.015
4,34,0.476,0.002,0.479,0.0,0.474,0.001,0.477,0.002,0.471,0.001,0.475,0.001
4,35,0.699,0.0,0.702,0.0,0.699,0.0,0.699,0.0,0.695,0.0,0.698,0.0
5,0,0.966,0.0,0.967,0.0,0.966,0.0,0.967,0.0,0.966,0.0,0.966,0.0
5,1,0.821,0.008,0.824,0.007,0.823,0.002,0.821,0.0,0.817,0.004,0.822,0.003
5,2,0.558,0.01,0.568,0.003,0.572,0.019,0.555,0.01,0.553,0.053,0.568,0.026
5,3,0.526,0.006,0.54,0.008,0.544,0.012,0.532,0.003,0.531,0.013,0.55,0.007
5,4,0.806,0.082,0.81,0.002,0.806,0.059,0.805,0.058,0.798,0.26,0.804,0.084
5,5,0.72,0.0,0.726,0.0,0.719,0.0,0.718,0.0,0.705,0.0,0.714,0.0
5,6,0.662,0.004,0.669,0.005,0.666,0.001,0.661,0.0,0.653,0.002,0.663,0.002
5,7,0.367,0.0,0.38,0.0,0.378,0.0,0.369,0.0,0.361,0.001,0.377,0.0
5,8,0.77,0.0,0.77,0.0,0.759,0.003,0.771,0.0,0.755,0.005,0.758,0.003
5,9,0.311,0.021,0.324,0.005,0.322,0.057,0.314,0.013,0.296,0.117,0.316,0.064
5,10,0.787,0.0,0.787,0.0,0.781,0.001,0.787,0.001,0.775,0.001,0.778,0.0
5,11,0.643,0.003,0.642,0.001,0.631,0.138,0.643,0.004,0.627,0.156,0.63,0.124
5,12,0.51,0.002,0.508,0.002,0.498,0.005,0.509,0.001,0.491,0.009,0.494,0.005
5,13,0.282,0.011,0.286,0.002,0.281,0.032,0.28,0.007,0.265,0.071,0.275,0.039
5,14,0.59,0.001,0.588,0.0,0.579,0.003,0.588,0.0,0.573,0.007,0.575,0.004
5,15,0.369,0.002,0.374,0.001,0.362,0.03,0.366,0.001,0.343,0.036,0.354,0.032
5,16,0.426,0.013,0.426,0.005,0.41,0.022,0.422,0.004,0.395,0.057,0.401,0.037
5,17,0.386,0.014,0.386,0.004,0.376,0.073,0.38,0.011,0.354,0.116,0.364,0.07
5,18,0.401,0.008,0.399,0.001,0.382,0.041,0.394,0.009,0.364,0.076,0.37,0.041
5,19,0.451,0.012,0.456,0.001,0.452,0.067,0.447,0.012,0.429,0.118,0.442,0.068
5,20,0.348,0.065,0.358,0.021,0.347,0.042,0.344,0.018,0.313,0.13,0.335,0.069
5,21,0.436,0.0,0.444,0.0,0.437,0.0,0.431,0.0,0.409,0.001,0.427,0.001
5,22,0.511,0.009,0.515,0.002,0.507,0.018,0.508,0.003,0.486,0.04,0.5,0.024
5,23,0.523,0.0,0.527,0.0,0.52,0.0,0.52,0.0,0.501,0.0,0.513,0.0
5,24,0.359,0.012,0.37,0.004,0.363,0.029,0.355,0.006,0.329,0.06,0.353,0.039
5,25,0.511,0.004,0.519,0.001,0.521,0.004,0.508,0.002,0.498,0.008,0.513,0.004
5,26,0.365,0.025,0.374,0.006,0.37,0.049,0.363,0.013,0.345,0.088,0.364,0.05
5,27,0.403,0.001,0.413,0.002,0.415,0.005,0.4,0.003,0.388,0.006,0.409,0.009
5,28,0.424,0.001,0.43,0.001,0.427,0.004,0.423,0.003,0.409,0.007,0.422,0.003
5,29,0.342,0.024,0.358,0.002,0.363,0.043,0.343,0.017,0.331,0.097,0.36,0.049
5,30,0.555,0.002,0.565,0.0,0.573,0.005,0.552,0.003,0.55,0.013,0.568,0.004
5,31,0.366,0.02,0.384,0.005,0.397,0.037,0.363,0.011,0.359,0.09,0.39,0.049
5,32,0.462,0.0,0.479,0.0,0.492,0.002,0.458,0.001,0.456,0.003,0.483,0.002
5,33,0.261,0.024,0.286,0.005,0.303,0.086,0.265,0.018,0.259,0.164,0.301,0.096
5,34,0.45,0.004,0.461,0.001,0.467,0.005,0.448,0.003,0.441,0.012,0.462,0.004
5,35,0.697,0.0,0.699,0.0,0.698,0.0,0.693,0.0,0.687,0.0,0.693,0.0
6,0,0.967,0.0,0.966,0.0,0.966,0.0,0.967,0.0,0.967,0.0,0.966,0.0
6,1,0.825,0.003,0.828,0.009,0.828,0.01,0.825,0.021,0.826,0.024,0.829,0.0
6,2,0.575,0.001,0.578,0.0,0.579,0.0,0.572,0.001,0.574,0.001,0.578,0.0
6,3,0.545,0.007,0.546,0.001,0.545,0.002,0.542,0.01,0.541,0.008,0.544,0.001
6,4,0.805,0.035,0.809,0.005,0.807,0.006,0.804,0.013,0.804,0.013,0.807,0.0
6,5,0.729,0.007,0.733,0.002,0.73,0.002,0.729,0.002,0.729,0.002,0.731,0.0
6,6,0.674,0.001,0.678,0.001,0.674,0.001,0.673,0.001,0.671,0.002,0.674,0.0
6,7,0.38,0.0,0.382,0.0,0.379,0.0,0.381,0.0,0.379,0.0,0.382,0.0
6,8,0.767,0.0,0.768,0.0,0.765,0.0,0.766,0.0,0.764,0.0,0.766,0.0
6,9,0.315,0.002,0.316,0.005,0.311,0.002,0.318,0.006,0.313,0.004,0.316,0.002
6,10,0.795,0.0,0.795,0.0,0.794,0.0,0.795,0.0,0.794,0.0,0.794,0.0
6,11,0.643,0.006,0.644,0.01,0.642,0.02,0.641,0.001,0.64,0.004,0.641,0.002
6,12,0.507,0.002,0.507,0.0,0.506,0.001,0.507,0.002,0.506,0.002,0.508,0.0
6,13,0.294,0.002,0.292,0.004,0.292,0.003,0.295,0.007,0.295,0.005,0.295,0.001
6,14,0.583,0.001,0.58,0.0,0.58,0.0,0.583,0.001,0.582,0.002,0.581,0.0
6,15,0.361,0.0,0.355,0.0,0.355,0.0,0.36,0.0,0.36,0.0,0.356,0.0
6,16,0.414,0.001,0.411,0.002,0.41,0.001,0.414,0.001,0.414,0.001,0.411,0.0
6,17,0.38,0.003,0.375,0.004,0.375,0.005,0.379,0.004,0.378,0.005,0.375,0.001
6,18,0.382,0.001,0.377,0.001,0.378,0.0,0.382,0.002,0.382,0.001,0.378,0.001
6,19,0.445,0.003,0.445,0.004,0.444,0.005,0.447,0.009,0.446,0.011,0.447,0.001
6,20,0.335,0.003,0.335,0.002,0.334,0.002,0.336,0.003,0.335,0.003,0.336,0.001
6,21,0.426,0.0,0.425,0.0,0.424,0.0,0.426,0.0,0.425,0.0,0.425,0.0
6,22,0.504,0.001,0.505,0.0,0.504,0.002,0.505,0.002,0.503,0.003,0.506,0.001
6,23,0.507,0.0,0.509,0.0,0.508,0.0,0.507,0.0,0.506,0.0,0.51,0.0
6,24,0.341,0.002,0.343,0.001,0.343,0.003,0.34,0.003,0.339,0.004,0.343,0.001
6,25,0.521,0.0,0.522,0.0,0.522,0.001,0.521,0.001,0.52,0.001,0.522,0.0
6,26,0.356,0.002,0.358,0.002,0.357,0.003,0.356,0.002,0.355,0.002,0.359,0.001
6,27,0.416,0.001,0.418,0.001,0.418,0.001,0.415,0.002,0.414,0.003,0.418,0.0
6,28,0.411,0.0,0.413,0.0,0.414,0.001,0.411,0.0,0.411,0.001,0.416,0.0
6,29,0.337,0.004,0.341,0.002,0.34,0.002,0.338,0.006,0.337,0.007,0.342,0.001
6,30,0.564,0.005,0.567,0.0,0.566,0.0,0.564,0.005,0.564,0.003,0.567,0.0
6,31,0.377,0.009,0.38,0.001,0.379,0.001,0.376,0.009,0.375,0.009,0.38,0.001
6,32,0.491,0.0,0.496,0.0,0.495,0.0,0.491,0.0,0.49,0.0,0.496,0.0
6,33,0.286,0.004,0.29,0.002,0.288,0.002,0.284,0.004,0.282,0.004,0.288,0.001
6,34,0.455,0.001,0.462,0.0,0.46,0.0,0.457,0.001,0.454,0.001,0.463,0.0
6,35,0.7,0.0,0.704,0.0,0.703,0.0,0.699,0.0,0.698,0.0,0.704,0.0
7,0,0.967,0.0,0.967,0.0,0.967,0.0,0.967,0.0,0.967,0.0,0.966,0.0
7,1,0.823,0.02,0.825,0.001,0.824,0.001,0.825,0.015,0.822,0.029,0.824,0.003
7,2,0.565,0.029,0.576,0.009,0.574,0.001,0.574,0.008,0.565,0.022,0.577,0.005
7,3,0.554,0.042,0.557,0.006,0.557,0.0,0.561,0.024,0.554,0.045,0.557,0.007
7,4,0.799,0.088,0.808,0.027,0.81,0.0,0.801,0.205,0.798,0.089,0.808,0.027
7,5,0.711,0.0,0.72,0.0,0.722,0.0,0.716,0.0,0.71,0.0,0.72,0.0
7,6,0.656,0.002,0.668,0.004,0.667,0.0,0.665,0.007,0.656,0.002,0.668,0.003
7,7,0.375,0.0,0.383,0.0,0.382,0.0,0.386,0.0,0.376,0.0,0.384,0.0
7,8,0.757,0.0,0.764,0.0,0.767,0.0,0.762,0.0,0.759,0.0,0.766,0.0
7,9,0.309,0.084,0.319,0.017,0.318,0.003,0.33,0.038,0.311,0.073,0.32,0.012
7,10,0.783,0.0,0.787,0.0,0.787,0.0,0.79,0.0,0.784,0.0,0.788,0.0
7,11,0.626,0.067,0.637,0.012,0.639,0.001,0.637,0.025,0.63,0.056,0.64,0.007
7,12,0.496,0.004,0.512,0.003,0.511,0.001,0.513,0.003,0.497,0.004,0.513,0.003
